step,count_#6,count_#7,count_#8
0,20,500,25
1,20,501,25
2,20,509,25
3,20,515,25
4,20,523,25
5,20,524,25
6,20,529,25
7,20,533,25
8,20,547,25
9,20,550,25
10,20,557,26
11,20,562,26
12,20,565,26
13,20,572,26
14,20,578,26
15,20,581,26
16,20,586,26
17,20,592,26
18,20,596,26
19,20,604,26
20,20,609,26
21,20,614,26
22,20,615,26
23,20,618,26
24,20,622,26
25,20,625,26
26,21,628,26
27,21,634,26
28,21,642,26
29,21,644,26
30,21,645,26
31,21,652,26
32,21,654,26
33,21,662,26
34,21,665,26
35,21,669,26
36,21,678,26
37,21,684,26
38,21,692,26
39,21,698,26
40,21,704,26
41,21,716,26
42,21,725,26
43,20,733,26
44,20,738,26
45,20,740,26
46,20,741,26
47,20,750,26
48,20,756,26
49,19,759,26
50,19,769,26
51,19,779,26
52,19,789,26
53,19,797,26
54,19,798,26
55,19,806,26
56,19,807,26
57,19,814,26
58,19,829,26
59,19,840,25
60,19,846,25
61,19,852,25
62,19,862,24
63,19,868,24
64,19,874,24
65,19,882,24
66,19,886,24
67,19,898,24
68,19,906,24
69,18,916,24
70,18,924,25
71,18,932,25
72,18,939,25
73,18,947,25
74,18,960,25
75,18,967,25
76,18,976,25
77,18,982,25
78,18,987,25
79,18,992,25
80,18,993,26
81,18,1007,26
82,18,1014,26
83,18,1026,26
84,18,1032,27
85,18,1043,27
86,18,1050,27
87,18,1060,28
88,18,1069,28
89,18,1077,28
90,18,1084,28
91,18,1099,28
92,18,1115,29
93,18,1119,29
94,19,1131,29
95,19,1136,29
96,19,1147,28
97,19,1152,28
98,19,1155,28
99,19,1164,28
100,19,1185,28
101,19,1196,28
102,19,1204,28
103,19,1218,28
104,19,1233,28
105,19,1241,28
106,19,1251,28
107,19,1262,28
108,19,1279,28
109,19,1292,28
110,19,1307,28
111,19,1318,28
112,19,1325,29
113,19,1332,29
114,19,1348,29
115,19,1361,29
116,19,1376,29
117,19,1390,29
118,19,1401,30
119,19,1420,30
120,19,1440,30
121,19,1450,30
122,19,1462,31
123,19,1469,31
124,19,1487,31
125,19,1495,31
126,19,1505,31
127,19,1518,31
128,19,1532,31
129,19,1540,31
130,19,1554,31
131,19,1567,31
132,19,1582,31
133,19,1593,31
134,19,1611,32
135,19,1634,32
136,19,1649,32
137,19,1659,32
138,19,1682,32
139,19,1700,32
140,20,1716,32
141,20,1734,33
142,20,1746,33
143,20,1768,33
144,20,1781,33
145,20,1792,33
146,20,1810,33
147,20,1831,33
148,20,1844,33
149,20,1862,33
150,20,1879,33
151,20,1901,33
152,20,1910,33
153,20,1927,33
154,20,1947,34
155,20,1966,35
156,20,1987,35
157,21,2010,35
158,21,2035,35
159,22,2050,35
160,22,2070,35
161,22,2091,35
162,22,2107,35
163,22,2126,35
164,22,2148,35
165,22,2160,35
166,22,2172,35
167,22,2189,35
168,22,2216,35
169,22,2238,35
170,22,2257,35
171,22,2270,35
172,22,2291,35
173,22,2315,35
174,22,2333,35
175,22,2352,35
176,22,2372,36
177,22,2389,37
178,22,2409,37
179,22,2431,37
180,22,2438,37
181,22,2460,37
182,22,2480,38
183,22,2493,39
184,22,2513,40
185,22,2533,40
186,22,2551,40
187,22,2570,40
188,22,2590,40
189,22,2607,40
190,22,2624,40
191,22,2639,40
192,22,2661,40
193,22,2673,40
194,22,2690,40
195,22,2698,40
196,22,2715,40
197,22,2726,40
198,22,2740,40
199,22,2749,40
200,22,2757,40
201,22,2776,41
202,22,2785,41
203,22,2779,41
204,22,2788,41
205,22,2794,41
206,22,2798,41
207,22,2797,41
208,22,2796,41
209,22,2791,41
210,22,2785,41
211,22,2774,41
212,22,2764,41
213,22,2756,41
214,22,2743,41
215,22,2739,41
216,22,2720,42
217,22,2707,42
218,22,2694,42
219,22,2676,42
220,22,2669,42
221,22,2663,42
222,22,2643,42
223,22,2630,43
224,22,2607,43
225,22,2583,43
226,22,2573,44
227,22,2550,44
228,22,2533,44
229,22,2515,44
230,22,2496,44
231,22,2465,44
232,22,2447,44
233,22,2418,44
234,22,2403,45
235,22,2381,45
236,22,2365,45
237,22,2342,46
238,22,2322,47
239,22,2297,47
240,22,2272,47
241,22,2253,47
242,22,2236,48
243,22,2221,48
244,22,2210,48
245,22,2186,48
246,22,2163,48
247,22,2141,48
248,22,2121,48
249,22,2094,48
250,22,2068,48
251,22,2053,48
252,22,2030,48
253,22,2004,48
254,22,1985,48
255,22,1968,48
256,22,1952,48
257,22,1931,48
258,22,1919,49
259,22,1895,49
260,22,1873,49
261,22,1855,50
262,22,1838,50
263,22,1826,50
264,23,1805,50
265,23,1785,50
266,23,1771,50
267,23,1749,50
268,23,1725,50
269,23,1706,50
270,24,1693,50
271,24,1678,50
272,24,1661,50
273,24,1643,50
274,24,1631,50
275,24,1614,50
276,24,1589,50
277,24,1572,50
278,24,1550,51
279,24,1530,51
280,24,1520,51
281,24,1510,51
282,24,1499,51
283,24,1479,51
284,24,1469,51
285,24,1456,51
286,24,1448,51
287,23,1436,51
288,23,1426,51
289,23,1417,51
290,23,1406,51
291,23,1395,51
292,23,1389,51
293,23,1372,52
294,23,1358,52
295,23,1352,52
296,23,1337,53
297,23,1330,53
298,23,1328,53
299,23,1322,53
300,23,1311,53
301,22,1300,53
302,22,1290,53
303,22,1281,53
304,22,1273,53
305,22,1256,53
306,22,1246,53
307,22,1242,53
308,22,1237,53
309,23,1233,54
310,23,1224,54
311,23,1217,54
312,23,1211,54
313,23,1207,54
314,23,1201,54
315,23,1195,54
316,24,1185,54
317,24,1177,54
318,24,1176,53
319,24,1174,53
320,24,1174,53
321,24,1172,53
322,24,1169,53
323,24,1165,53
324,24,1160,54
325,24,1159,54
326,24,1156,54
327,24,1152,54
328,24,1148,54
329,24,1147,54
330,24,1147,54
331,24,1144,54
332,24,1140,54
333,24,1139,55
334,24,1140,57
335,24,1138,58
336,24,1138,58
337,24,1139,58
338,25,1133,58
339,25,1129,58
340,25,1133,58
341,25,1132,58
342,25,1130,59
343,25,1122,60
344,25,1127,61
345,25,1124,61
346,25,1126,61
347,25,1123,61
348,25,1121,62
349,25,1128,62
350,25,1127,62
351,25,1129,62
352,25,1126,62
353,25,1123,62
354,25,1120,62
355,25,1124,62
356,26,1127,62
357,26,1125,62
358,26,1130,61
359,26,1134,61
360,26,1130,61
361,26,1127,61
362,26,1129,61
363,26,1131,61
364,26,1127,61
365,26,1129,61
366,27,1134,61
367,27,1142,61
368,27,1141,61
369,28,1135,61
370,28,1140,61
371,28,1141,61
372,28,1133,61
373,28,1132,61
374,28,1134,61
375,28,1133,61
376,28,1138,61
377,28,1135,61
378,28,1139,61
379,28,1139,63
380,28,1137,63
381,28,1141,63
382,28,1144,63
383,27,1141,63
384,27,1148,63
385,27,1148,63
386,27,1150,63
387,27,1152,64
388,27,1154,64
389,27,1161,64
390,27,1161,64
391,27,1162,64
392,27,1167,66
393,27,1165,67
394,27,1170,67
395,27,1167,67
396,27,1167,68
397,27,1166,68
398,27,1163,68
399,27,1164,68
400,27,1162,68
401,27,1163,68
402,27,1163,68
403,27,1161,68
404,27,1164,67
405,27,1167,67
406,27,1163,67
407,27,1172,67
408,27,1174,67
409,27,1170,68
410,27,1181,68
411,27,1183,69
412,27,1183,69
413,28,1194,69
414,28,1190,70
415,28,1190,70
416,28,1199,70
417,28,1204,70
418,28,1203,70
419,29,1208,70
420,29,1213,70
421,29,1215,70
422,29,1218,70
423,29,1222,70
424,29,1222,70
425,29,1226,71
426,29,1227,71
427,29,1225,72
428,29,1221,72
429,29,1219,72
430,29,1225,72
431,29,1228,72
432,29,1225,72
433,29,1233,73
434,29,1236,73
435,29,1245,73
436,29,1246,73
437,29,1245,73
438,29,1246,73
439,29,1249,74
440,29,1251,74
441,29,1257,74
442,29,1268,74
443,29,1272,74
444,29,1271,75
445,29,1278,75
446,29,1289,76
447,30,1296,76
448,30,1298,77
449,30,1308,77
450,30,1310,77
451,30,1312,77
452,30,1310,77
453,30,1315,77
454,30,1313,77
455,30,1319,76
456,30,1320,76
457,30,1317,76
458,30,1315,77
459,30,1311,77
460,30,1321,77
461,30,1326,77
462,30,1332,77
463,30,1331,77
464,31,1338,77
465,31,1338,77
466,31,1337,77
467,31,1343,77
468,31,1345,77
469,31,1343,77
470,31,1344,77
471,31,1343,77
472,31,1344,77
473,31,1340,77
474,31,1343,77
475,31,1349,77
476,31,1352,77
477,31,1354,77
478,31,1355,78
479,31,1353,78
480,31,1352,79
481,31,1356,79
482,31,1359,79
483,31,1363,79
484,31,1368,79
485,32,1371,80
486,32,1370,81
487,32,1373,81
488,32,1367,81
489,32,1361,81
490,32,1362,81
491,32,1361,81
492,32,1364,81
493,32,1361,81
494,32,1365,81
495,32,1366,81
496,32,1365,81
497,32,1370,81
498,32,1368,82
499,32,1368,82
500,32,1366,82
501,32,1367,82
502,32,1371,81
503,32,1370,81
504,32,1377,81
505,33,1379,81
506,33,1382,81
507,33,1392,84
508,33,1386,84
509,33,1385,84
510,33,1387,84
511,33,1385,84
512,33,1379,84
513,33,1372,84
514,33,1374,84
515,33,1377,84
516,33,1375,84
517,33,1376,84
518,33,1377,84
519,33,1379,84
520,33,1379,84
521,33,1378,84
522,33,1378,84
523,33,1368,84
524,33,1372,84
525,33,1372,84
526,33,1368,84
527,33,1361,85
528,33,1359,85
529,33,1363,85
530,33,1358,87
531,33,1355,87
532,33,1356,87
533,33,1355,87
534,33,1357,87
535,33,1355,87
536,33,1350,88
537,33,1352,88
538,33,1347,89
539,33,1347,89
540,33,1344,89
541,33,1342,90
542,33,1342,90
543,33,1338,91
544,33,1337,91
545,33,1333,91
546,33,1333,91
547,33,1336,91
548,33,1343,91
549,33,1344,91
550,33,1341,92
551,33,1348,92
552,33,1342,93
553,33,1342,93
554,33,1336,93
555,33,1330,93
556,33,1328,94
557,33,1327,94
558,33,1327,94
559,33,1322,94
560,33,1320,94
561,33,1318,94
562,33,1321,94
563,33,1321,94
564,33,1318,94
565,33,1324,95
566,33,1324,95
567,33,1314,96
568,33,1318,96
569,33,1314,97
570,33,1311,98
571,33,1304,98
572,33,1305,98
573,33,1308,99
574,33,1301,99
575,33,1299,99
576,33,1288,99
577,33,1289,100
578,33,1285,100
579,33,1293,100
580,33,1298,100
581,33,1298,100
582,33,1292,100
583,33,1280,100
584,33,1274,100
585,33,1272,100
586,33,1277,101
587,33,1267,101
588,33,1266,101
589,33,1265,101
590,33,1266,101
591,33,1268,101
592,33,1264,101
593,33,1264,101
594,33,1261,101
595,33,1252,102
596,33,1249,102
597,33,1240,102
598,33,1239,102
599,33,1243,102
600,33,1245,102
601,33,1242,102
602,33,1231,105
603,33,1228,105
604,33,1230,105
605,34,1224,106
606,34,1220,108
607,34,1217,109
608,34,1221,110
609,34,1218,110
610,34,1211,110
611,34,1216,110
612,34,1210,110
613,34,1213,110
614,34,1215,110
615,35,1217,110
616,35,1215,110
617,35,1208,110
618,35,1204,110
619,35,1205,110
620,35,1206,110
621,35,1198,112
622,35,1197,113
623,35,1193,113
624,35,1189,113
625,35,1188,113
626,35,1186,112
627,35,1183,113
628,35,1184,113
629,35,1186,113
630,35,1181,113
631,35,1177,114
632,35,1173,114
633,36,1175,114
634,36,1178,114
635,36,1178,114
636,36,1174,114
637,37,1172,114
638,37,1175,115
639,37,1176,115
640,37,1168,115
641,37,1172,114
642,37,1167,114
643,37,1169,114
644,37,1176,115
645,37,1174,114
646,37,1176,114
647,38,1176,114
648,38,1176,114
649,38,1173,115
650,38,1167,116
651,38,1168,116
652,38,1164,116
653,38,1168,116
654,38,1163,116
655,38,1165,116
656,38,1163,114
657,38,1165,114
658,38,1168,114
659,38,1169,114
660,38,1173,114
661,38,1170,114
662,39,1170,115
663,39,1169,115
664,39,1168,115
665,39,1172,115
666,39,1170,116
667,39,1171,116
668,39,1171,116
669,39,1168,116
670,39,1156,116
671,39,1154,117
672,39,1152,117
673,39,1159,117
674,39,1157,118
675,40,1151,119
676,40,1154,119
677,40,1151,120
678,40,1146,119
679,40,1143,119
680,40,1137,119
681,40,1137,119
682,40,1135,119
683,40,1138,119
684,40,1133,119
685,40,1136,121
686,40,1140,124
